month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,mean_rh,mean_sunshine_hrs,mean_temp,wet_bulb_temperature,date,year
1,177.8,13,600.9,86.7,6.7,26.9,25.08225806451613,2004-01-01,2004
2,19.2,4,31.9,80.5,7.7,27.6,24.958189655172415,2004-02-01,2004
3,122.8,16,269.4,85.8,4.8,27.7,25.739919354838708,2004-03-01,2004
4,18.1,9,57.1,82.3,7.0,28.9,26.369027777777777,2004-04-01,2004
5,73.4,13,137.6,82.1,6.0,28.9,26.447580645161292,2004-05-01,2004
6,68.1,8,127.2,79.8,6.3,29.0,26.183611111111112,2004-06-01,2004
7,34.3,20,166.6,85.3,4.2,27.3,25.38817204301075,2004-07-01,2004
8,111.5,8,185.2,80.3,7.3,28.3,25.537365591397847,2004-08-01,2004
9,29.1,14,128.9,83.6,5.9,27.8,25.57027777777778,2004-09-01,2004
10,25.3,13,125.6,83.9,5.0,27.8,25.573387096774194,2004-10-01,2004
11,62.4,15,166.2,86.1,5.8,27.3,25.41375,2004-11-01,2004
12,36.4,14,139.8,85.2,4.9,26.8,24.87244623655914,2004-12-01,2004
1,96.7,8,163.2,83.3,6.5,26.6,24.395967741935483,2005-01-01,2005
2,7.2,3,8.4,77.7,9.1,28.5,25.330357142857142,2005-02-01,2005
3,20.5,12,82.4,80.3,7.2,28.5,25.70577956989247,2005-03-01,2005
4,49.6,10,81.7,81.0,7.0,28.7,26.036805555555553,2005-04-01,2005
5,58.7,20,331.1,84.6,5.5,28.5,26.366532258064513,2005-05-01,2005
6,27.6,15,82.3,82.7,5.4,28.8,26.405694444444446,2005-06-01,2005
7,26.3,15,104.0,84.0,5.4,28.0,25.849865591397847,2005-07-01,2005
8,13.8,13,58.5,82.9,6.5,28.2,25.900134408602153,2005-08-01,2005
9,43.4,18,175.7,84.2,6.2,28.2,25.996111111111112,2005-09-01,2005
10,76.2,19,314.5,85.2,5.1,27.6,25.581854838709678,2005-10-01,2005
11,133.8,23,362.9,86.4,4.4,27.3,25.43236111111111,2005-11-01,2005
12,47.3,19,166.0,85.6,4.5,27.3,25.326478494623654,2005-12-01,2005
1,131.7,20,454.4,87.8,4.8,26.5,24.865591397849464,2006-01-01,2006
2,44.5,8,115.5,84.0,7.4,27.5,25.37842261904762,2006-02-01,2006
3,35.7,9,83.1,81.3,7.1,28.3,25.69220430107527,2006-03-01,2006
4,43.3,18,239.8,87.0,5.3,27.6,25.854444444444443,2006-04-01,2006
5,36.6,14,205.7,85.2,5.0,28.1,26.103629032258063,2006-05-01,2006
6,37.3,16,236.8,86.3,5.5,27.8,25.991527777777776,2006-06-01,2006
7,54.8,15,153.8,83.8,6.9,28.4,26.21155913978495,2006-07-01,2006
8,30.4,14,127.3,81.9,6.7,28.3,25.85456989247312,2006-08-01,2006
9,32.2,12,83.3,81.0,5.3,28.0,25.404861111111114,2006-09-01,2006
10,37.8,8,102.0,80.9,4.8,28.3,25.693279569892475,2006-10-01,2006
11,64.0,18,185.6,87.4,5.6,27.3,25.550416666666667,2006-11-01,2006
12,198.0,22,765.9,88.5,3.2,26.6,25.122177419354838,2006-12-01,2006
1,143.8,20,450.1,86.8,4.1,26.5,24.72083333333333,2007-01-01,2007
2,51.4,3,105.5,82.5,7.6,27.3,24.870535714285715,2007-02-01,2007
3,68.8,21,269.1,84.9,5.8,27.5,25.42043010752688,2007-03-01,2007
4,102.4,14,240.2,84.7,5.9,28.1,26.00986111111111,2007-04-01,2007
5,21.9,16,127.2,84.8,5.5,28.3,26.221236559139786,2007-05-01,2007
6,38.0,12,139.0,82.8,6.0,28.4,26.059583333333332,2007-06-01,2007
7,23.0,19,141.7,84.8,3.8,27.7,25.697580645161292,2007-07-01,2007
8,55.9,20,190.7,82.9,5.7,27.7,25.4252688172043,2007-08-01,2007
9,52.1,13,149.0,83.3,5.8,27.8,25.593194444444446,2007-09-01,2007
10,51.8,16,237.2,83.2,5.6,27.8,25.488575268817204,2007-10-01,2007
11,60.1,21,367.9,86.5,3.5,26.9,25.105833333333333,2007-11-01,2007
12,159.0,20,468.6,86.8,4.5,26.4,24.70430107526882,2007-12-01,2007
1,123.1,19,262.6,86.0,6.1,26.8,24.903360215053766,2008-01-01,2008
2,48.5,8,129.2,82.9,5.5,26.7,24.42729885057471,2008-02-01,2008
3,48.1,16,294.1,87.1,4.3,26.5,24.830510752688173,2008-03-01,2008
4,34.2,13,87.2,82.0,6.0,28.1,25.641805555555557,2008-04-01,2008
5,42.3,11,124.9,79.1,6.6,28.8,25.849596774193547,2008-05-01,2008
6,45.2,12,118.3,81.5,5.6,28.2,25.663333333333334,2008-06-01,2008
7,23.5,15,89.1,81.3,4.9,27.8,25.311155913978496,2008-07-01,2008
8,133.9,18,327.3,83.8,5.5,27.4,25.284408602150535,2008-08-01,2008
9,43.5,18,164.4,82.7,5.1,27.7,25.344722222222224,2008-09-01,2008
10,41.6,19,159.5,84.9,4.5,27.6,25.546505376344086,2008-10-01,2008
11,63.3,16,324.3,85.9,4.0,27.3,25.379583333333336,2008-11-01,2008
12,52.0,17,244.2,83.7,4.8,26.9,24.690591397849463,2008-12-01,2008
1,36.0,5,38.3,79.1,6.6,26.8,23.982795698924733,2009-01-01,2009
2,74.2,8,201.8,80.7,6.4,27.3,24.64627976190476,2009-02-01,2009
3,56.3,19,223.3,85.4,5.5,27.2,25.200000000000003,2009-03-01,2009
4,86.6,12,183.7,82.2,6.2,28.5,26.000694444444445,2009-04-01,2009
5,41.3,17,198.6,83.0,6.6,28.7,26.366666666666667,2009-05-01,2009
6,5.8,8,21.8,79.8,7.0,29.1,26.28166666666667,2009-06-01,2009
7,24.4,16,161.0,80.8,6.2,28.3,25.600268817204302,2009-07-01,2009
8,35.5,12,177.8,80.7,6.5,28.3,25.643548387096775,2009-08-01,2009
9,63.0,13,109.6,82.0,5.6,28.3,25.866111111111113,2009-09-01,2009
10,38.4,15,133.4,82.8,5.4,28.2,25.861424731182794,2009-10-01,2009
11,61.4,23,281.8,85.6,4.7,27.2,25.274583333333332,2009-11-01,2009
12,42.6,18,189.8,86.3,4.7,27.1,25.261693548387097,2009-12-01,2009
1,24.5,10,69.5,82.1,7.1,27.5,25.016397849462365,2010-01-01,2010
2,2.9,4,6.3,77.3,8.8,28.9,25.641964285714288,2010-02-01,2010
3,57.6,11,238.0,79.9,6.1,28.6,25.73198924731183,2010-03-01,2010
4,40.0,18,158.5,84.1,6.2,28.6,26.349444444444444,2010-04-01,2010
5,90.5,17,157.5,82.2,6.5,29.2,26.713575268817202,2010-05-01,2010
6,43.0,19,240.5,83.9,5.1,28.3,26.11875,2010-06-01,2010
7,121.1,18,298.5,84.8,4.6,27.7,25.649731182795698,2010-07-01,2010
8,60.2,16,158.4,84.2,5.4,27.9,25.741263440860212,2010-08-01,2010
9,28.0,13,121.5,82.5,5.7,28.0,25.610833333333336,2010-09-01,2010
10,58.1,17,166.2,82.3,4.2,28.3,25.802822580645163,2010-10-01,2010
11,41.6,21,278.8,85.9,5.0,27.4,25.448611111111113,2010-11-01,2010
12,85.8,14,181.4,85.3,3.6,26.8,24.836290322580645,2010-12-01,2010
1,216.2,17,513.2,85.8,4.5,26.3,24.433467741935484,2011-01-01,2011
2,17.4,8,23.0,81.1,7.5,27.3,24.691517857142856,2011-02-01,2011
3,54.0,22,256.6,85.5,4.6,27.1,25.07231182795699,2011-03-01,2011
4,61.8,12,217.8,83.9,7.2,27.9,25.69,2011-04-01,2011
5,34.2,15,127.0,85.3,5.9,28.5,26.479166666666664,2011-05-01,2011
6,82.0,15,213.0,83.7,5.0,28.4,26.13875,2011-06-01,2011
